"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","Timbo1","2026-07-16T23:00:02.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","shuey33","2026-07-16T23:00:03.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Oceanman","2026-07-16T23:00:05.000Z"
"05uie","1","4","4","PF","Scottie Barnes","TOR","boldest19","2026-07-17T01:08:14.000Z"
"04kj6","1","5","5","PG","Luka Doncic","LAL","Bridgeburners","2026-07-17T01:08:14.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","danco","2026-07-17T04:44:51.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","thibs11","2026-07-17T08:49:36.000Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","Sternhold","2026-07-17T10:06:25.000Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","Son","2026-07-17T11:39:02.000Z"
"06v5l","1","10","10","SF","Cooper Flagg","DAL","FantasyISO","2026-07-17T11:39:51.000Z"
"03xmv","1","11","11","PF","Jayson Tatum","BOS","Markkowgier","2026-07-17T12:07:45.000Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","RookieFanClub","2026-07-17T13:11:21.000Z"
"04ewe","2","1","13","SG","Donovan Mitchell","CLE","RookieFanClub","2026-07-17T14:45:21.000Z"
"001aw","2","2","14","PF","Kevin Durant","HOU","Markkowgier","2026-07-17T22:45:32.000Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-17T22:47:32.000Z"
"05uiq","2","4","16","C","Alperen Sengun","HOU","Son","2026-07-17T22:49:33.000Z"
"04ewt","2","5","17","SG","Derrick White","BOS","Sternhold","2026-07-18T06:49:45.000Z"
"02nf1","2","6","18","PF","Anthony Davis","WAS","thibs11","2026-07-18T10:43:36.000Z"
"05qto","2","7","19","PG","LaMelo Ball","MIN","danco","2026-07-18T10:45:55.000Z"
"06211","2","8","20","C","Chet Holmgren","OKC","Bridgeburners","2026-07-18T13:17:46.000Z"
"027oz","2","9","21","SF","Kawhi Leonard","LAC","boldest19","2026-07-18T15:26:14.000Z"
"05uus","2","10","22","SG","Austin Reaves","LAL","Oceanman","2026-07-18T15:26:14.000Z"
"04qrk","2","11","23","PG","Trae Young","WAS","shuey33","2026-07-18T16:06:33.000Z"
"031m2","2","12","24","PF","Giannis Antetokounmpo","MIA","Timbo1","2026-07-18T18:24:38.000Z"
"01enh","3","1","25","PG","Stephen Curry","GS","Timbo1","2026-07-18T18:24:42.000Z"
"0621b","3","2","26","SG","Jalen Williams","OKC","shuey33","2026-07-18T18:28:11.000Z"
"05uid","3","3","27","PF","Evan Mobley","CLE","Oceanman","2026-07-18T18:54:54.000Z"
"01eo6","3","4","28","PG","James Harden","CLE","boldest19","2026-07-18T19:04:42.000Z"
"042n4","3","5","29","PG","Jamal Murray","DEN","Bridgeburners","2026-07-18T19:13:33.000Z"
"04ewf","3","6","30","C","Bam Adebayo","MIA","danco","2026-07-18T19:46:12.000Z"
"05uir","3","7","31","SF","Trey Murphy","NO","thibs11","2026-07-18T20:10:51.000Z"
"05qtt","3","8","32","C","Onyeka Okongwu","ATL","Sternhold","2026-07-19T04:11:02.000Z"
"05uig","3","9","33","PG","Josh Giddey","CHI","Son","2026-07-19T04:18:59.000Z"
"04azw","3","10","34","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-19T08:23:39.000Z"
"04qsa","3","11","35","PG","Jalen Brunson","NY","Markkowgier","2026-07-19T13:11:24.000Z"
"051ox","3","12","36","SG","Nickeil Alexander-Walker","ATL","RookieFanClub","2026-07-19T21:11:38.647Z"
"0621l","4","1","37","C","Walker Kessler","LAL","RookieFanClub","2026-07-19T22:35:54.078Z"
"04qrj","4","2","38","C","Jaren Jackson","UTA","Markkowgier","2026-07-19T22:39:18.389Z"
"03nwm","4","3","39","SG","Devin Booker","PHO","FantasyISO","2026-07-19T22:49:34.897Z"
"06mjz","4","4","40","C","Donovan Clingan","POR","Son","2026-07-19T23:15:33.901Z"
"04qrr","4","5","41","SF","Michael Porter","BKN","Sternhold","2026-07-20T02:46:20.386Z"
"06ca8","4","6","42","SF","Amen Thompson","HOU","thibs11","2026-07-20T07:45:08.146Z"
"03lls","4","7","43","SF","Jaylen Brown","PHI","danco","2026-07-20T07:45:08.432Z"
"05qt3","4","8","44","SG","Desmond Bane","ORL","Bridgeburners","2026-07-20T07:45:09.901Z"
"06v5k","4","9","45","SG","VJ Edgecombe","PHI","boldest19","2026-07-20T15:45:16.380Z"
"05qtj","4","10","46","SF","Deni Avdija","POR","Oceanman","2026-07-20T15:45:16.893Z"
"042n7","4","11","47","C","Domantas Sabonis","SAC","shuey33","2026-07-20T17:11:47.566Z"
"0011e","4","12","48","SF","LeBron James","(N/A)","Timbo1","2026-07-20T21:23:26.768Z"
"03al2","5","1","49","C","Joel Embiid","PHI","Timbo1","2026-07-20T21:23:31.053Z"
"06cca","5","2","50","SF","Brandon Miller","CHA","shuey33","2026-07-20T21:24:13.339Z"
"06mk3","5","3","51","SF","Matas Buzelis","CHI","Oceanman","2026-07-20T21:24:13.616Z"
"03ajv","5","4","52","PF","Julius Randle","BKN","boldest19","2026-07-21T00:16:28.851Z"
"06mk7","5","5","53","C","Kelel Ware","MIL","Bridgeburners","2026-07-21T00:16:29.131Z"
"042n1","5","6","54","SF","Brandon Ingram","TOR","danco","2026-07-21T00:16:33.677Z"
"042nm","5","7","55","PF","Pascal Siakam","IND","thibs11","2026-07-21T00:16:33.966Z"
"0621c","5","8","56","C","Jalen Duren","DET","Sternhold","2026-07-21T03:45:02.347Z"
"06227","5","9","57","PG","Ryan Rollins","MIL","Son","2026-07-21T11:45:08.218Z"
"06v5n","5","10","58","SF","Kon Knueppel","CHA","FantasyISO","2026-07-21T11:48:24.528Z"
"04ewn","5","11","59","PF","OG Anunoby","NY","Markkowgier","2026-07-21T12:01:24.965Z"
"06210","5","12","60","PF","Paolo Banchero","ORL","RookieFanClub","2026-07-21T12:21:17.507Z"
"06cby","6","1","61","PG","Keyonte George","UTA","RookieFanClub","2026-07-21T12:21:51.824Z"
"06mjw","6","2","62","PG","Stephon Castle","SA","Markkowgier","2026-07-21T12:43:28.462Z"
"042nq","6","3","63","PG","Dejounte Murray","NO","FantasyISO","2026-07-21T12:46:51.526Z"
"04qrn","6","4","64","SF","Mikal Bridges","NY","Son","2026-07-21T14:05:44.797Z"
"06217","6","5","65","SG","Dyson Daniels","ATL","Sternhold","2026-07-21T14:07:59.153Z"
"051ol","6","6","66","PG","Darius Garland","LAC","thibs11","2026-07-21T15:05:20.799Z"
"0527h","6","7","67","C","Naz Reid","CHA","danco","2026-07-21T15:05:21.073Z"
"076vc","6","8","68","PF","Cameron Boozer","MEM","Bridgeburners","2026-07-21T15:37:10.883Z"
"049kb","6","9","69","PG","DeAaron Fox","SA","boldest19","2026-07-21T19:35:05.657Z"
"06ccf","6","10","70","SF","Ausar Thompson","DET","Oceanman","2026-07-21T19:35:05.930Z"
"06mju","6","11","71","C","Alex Sarr","WAS","shuey33","2026-07-21T19:35:47.438Z"
"027oj","6","12","72","SG","Kyrie Irving","DAL","Timbo1","2026-07-21T22:17:33.815Z"
"05uii","7","1","73","SF","Franz Wagner","ORL","Timbo1","2026-07-21T22:17:41.278Z"
"01uyj","7","2","74","PF","Paul George","BOS","shuey33","2026-07-21T22:21:13.602Z"
"02xg9","7","3","75","C","Rudy Gobert","MIN","Oceanman","2026-07-22T03:50:47.388Z"
"06212","7","4","76","PF","Jabari Smith","HOU","boldest19","2026-07-22T04:42:54.816Z"
"05qt1","7","5","77","PG","Payton Pritchard","BOS","Bridgeburners","2026-07-22T05:28:11.476Z"
"05qu0","7","6","78","PF","Jaden McDaniels","MIN","danco","2026-07-22T05:28:11.756Z"
"04848","7","7","79","PG","Fred VanVleet","HOU","thibs11","2026-07-22T07:41:58.581Z"
"06mk1","7","8","80","C","Zach Edey","MEM","Sternhold","2026-07-22T07:43:55.074Z"
"05qu9","7","9","81","PG","Immanuel Quickley","TOR","Son","2026-07-22T14:05:42.844Z"
"051ot","7","10","82","SG","Tyler Herro","MIL","FantasyISO","2026-07-22T14:16:55.274Z"
"042nt","7","11","83","C","Ivica Zubac","IND","Markkowgier","2026-07-22T14:51:04.576Z"
"06mjv","7","12","84","PG","Reed Sheppard","HOU","RookieFanClub","2026-07-22T15:32:15.694Z"
"05ujd","8","1","85","C","Neemias Queta","BOS","RookieFanClub","2026-07-22T15:35:46.062Z"
"06v5y","8","2","86","SG","Dylan Harper","SA","Markkowgier","2026-07-22T15:43:00.390Z"
"051p4","8","3","87","SG","Ty Jerome","MEM","FantasyISO","2026-07-22T15:44:25.303Z"
"051oh","8","4","88","PF","Zion Williamson","NO","Son","2026-07-22T16:00:00.310Z"
"051oi","8","5","89","PG","Ja Morant","POR","Sternhold","2026-07-22T16:36:47.554Z"
"03ad2","8","6","90","C","Myles Turner","MIL","thibs11","2026-07-22T16:42:55.908Z"
"06v5h","8","7","91","C","Derik Queen","NO","danco","2026-07-22T16:42:56.179Z"
"05uif","8","8","92","PG","Jalen Suggs","ORL","Bridgeburners","2026-07-22T21:02:59.421Z"
"04qrp","8","9","93","SF","Miles Bridges","PHO","boldest19","2026-07-22T21:03:57.711Z"
"04ewm","8","10","94","C","Jarrett Allen","CLE","Oceanman","2026-07-23T04:47:32.692Z"
