"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","Sternhold","2026-07-15T23:00:01.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Draft Only #1","2026-07-15T23:00:02.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","bdub","2026-07-15T23:00:04.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Snooch","2026-07-15T23:03:05.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Anyang","2026-07-16T01:06:39.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","FantasyISO","2026-07-16T03:02:15.000Z"
"03xmv","1","7","7","PF","Jayson Tatum","BOS","GalaDynasty","2026-07-16T04:34:44.000Z"
"031m2","1","8","8","PF","Giannis Antetokounmpo","MIA","Timbo1","2026-07-16T04:40:28.000Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","stylesofbeyond","2026-07-16T06:55:56.000Z"
"06v5l","1","10","10","SF","Cooper Flagg","DAL","JDUB13","2026-07-16T06:55:56.000Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","Oceanman","2026-07-16T06:55:58.000Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","az24","2026-07-16T07:19:40.000Z"
"05qug","2","1","13","SG","Anthony Edwards","MIN","az24","2026-07-16T07:19:56.000Z"
"04ewe","2","2","14","SG","Donovan Mitchell","CLE","Oceanman","2026-07-16T07:19:56.000Z"
"05uiq","2","3","15","C","Alperen Sengun","HOU","JDUB13","2026-07-16T11:46:18.000Z"
"01enh","2","4","16","PG","Stephen Curry","GS","stylesofbeyond","2026-07-16T11:46:38.000Z"
"02nf1","2","5","17","PF","Anthony Davis","WAS","Timbo1","2026-07-16T11:48:17.000Z"
"03ad3","2","6","18","C","Karl-Anthony Towns","NY","GalaDynasty","2026-07-16T12:16:09.000Z"
"042n4","2","7","19","PG","Jamal Murray","DEN","FantasyISO","2026-07-16T12:19:31.000Z"
"03nwm","2","8","20","SG","Devin Booker","PHO","Anyang","2026-07-16T18:24:17.000Z"
"06211","2","9","21","C","Chet Holmgren","OKC","Snooch","2026-07-16T21:39:47.000Z"
"04qrk","2","10","22","PG","Trae Young","WAS","bdub","2026-07-16T22:11:41.000Z"
"05uus","2","11","23","SG","Austin Reaves","LAL","Draft Only #1","2026-07-16T22:11:42.000Z"
"001aw","2","12","24","PF","Kevin Durant","HOU","Sternhold","2026-07-17T01:09:29.000Z"
"05uir","3","1","25","SF","Trey Murphy","NO","Sternhold","2026-07-17T01:09:52.000Z"
"0621b","3","2","26","SG","Jalen Williams","OKC","Draft Only #1","2026-07-17T04:20:13.000Z"
"05uid","3","3","27","PF","Evan Mobley","CLE","bdub","2026-07-17T05:33:09.000Z"
"042n7","3","4","28","C","Domantas Sabonis","SAC","Snooch","2026-07-17T08:36:12.000Z"
"027oz","3","5","29","SF","Kawhi Leonard","LAC","Anyang","2026-07-17T09:07:05.000Z"
"04azw","3","6","30","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-17T09:12:43.000Z"
"05uig","3","7","31","PG","Josh Giddey","CHI","GalaDynasty","2026-07-17T09:15:29.000Z"
"05qto","3","8","32","PG","LaMelo Ball","MIN","Timbo1","2026-07-17T09:16:38.000Z"
"01eo6","3","9","33","PG","James Harden","CLE","stylesofbeyond","2026-07-17T09:21:34.000Z"
"06ca8","3","10","34","SF","Amen Thompson","HOU","JDUB13","2026-07-17T11:42:00.000Z"
"04ewf","3","11","35","C","Bam Adebayo","MIA","Oceanman","2026-07-17T13:00:29.000Z"
"04qsa","3","12","36","PG","Jalen Brunson","NY","az24","2026-07-17T15:44:00.000Z"
"0621l","4","1","37","C","Walker Kessler","LAL","az24","2026-07-17T15:44:16.000Z"
"05qtj","4","2","38","SF","Deni Avdija","POR","Oceanman","2026-07-17T15:44:17.000Z"
"06210","4","3","39","PF","Paolo Banchero","ORL","JDUB13","2026-07-17T18:49:21.000Z"
"03al2","4","4","40","C","Joel Embiid","PHI","stylesofbeyond","2026-07-17T21:29:52.000Z"
"06cca","4","5","41","SF","Brandon Miller","CHA","Timbo1","2026-07-17T22:08:17.000Z"
"04ewt","4","6","42","SG","Derrick White","BOS","GalaDynasty","2026-07-17T22:16:28.000Z"
"06v5n","4","7","43","SF","Kon Knueppel","CHA","FantasyISO","2026-07-17T22:20:36.000Z"
"04qrj","4","8","44","C","Jaren Jackson","UTA","Anyang","2026-07-18T00:15:06.000Z"
"05uii","4","9","45","SF","Franz Wagner","ORL","Snooch","2026-07-18T00:16:36.000Z"
"0621c","4","10","46","C","Jalen Duren","DET","bdub","2026-07-18T00:52:19.000Z"
"04qrr","4","11","47","SF","Michael Porter","BKN","Draft Only #1","2026-07-18T05:26:32.000Z"
"04ewn","4","12","48","PF","OG Anunoby","NY","Sternhold","2026-07-18T08:52:40.000Z"
"06mju","5","1","49","C","Alex Sarr","WAS","Sternhold","2026-07-18T08:53:58.000Z"
"0011e","5","2","50","SF","LeBron James","(N/A)","Draft Only #1","2026-07-18T10:10:11.000Z"
"06cby","5","3","51","PG","Keyonte George","UTA","bdub","2026-07-18T11:59:22.000Z"
"051ol","5","4","52","PG","Darius Garland","LAC","Snooch","2026-07-18T12:00:54.000Z"
"06mjz","5","5","53","C","Donovan Clingan","POR","Anyang","2026-07-18T13:21:27.000Z"
"05qtt","5","6","54","C","Onyeka Okongwu","ATL","FantasyISO","2026-07-18T13:24:03.000Z"
"051ox","5","7","55","SG","Nickeil Alexander-Walker","ATL","GalaDynasty","2026-07-18T14:23:54.000Z"
"042nm","5","8","56","PF","Pascal Siakam","IND","Timbo1","2026-07-18T14:23:54.000Z"
"076vc","5","9","57","PF","Cameron Boozer","MEM","stylesofbeyond","2026-07-18T15:03:51.000Z"
"05qt3","5","10","58","SG","Desmond Bane","ORL","JDUB13","2026-07-18T19:52:49.000Z"
"06217","5","11","59","SG","Dyson Daniels","ATL","Oceanman","2026-07-18T19:52:50.000Z"
"03lls","5","12","60","SF","Jaylen Brown","PHI","az24","2026-07-18T21:03:24.000Z"
"027oj","6","1","61","SG","Kyrie Irving","DAL","az24","2026-07-18T21:03:38.000Z"
"06mk3","6","2","62","SF","Matas Buzelis","CHI","Oceanman","2026-07-18T21:03:38.000Z"
"042n1","6","3","63","SF","Brandon Ingram","TOR","JDUB13","2026-07-18T21:32:10.000Z"
"0527h","6","4","64","C","Naz Reid","CHA","stylesofbeyond","2026-07-18T21:38:15.000Z"
"06mk1","6","5","65","C","Zach Edey","MEM","Timbo1","2026-07-18T22:34:00.000Z"
"06mk7","6","6","66","C","Kelel Ware","MIL","GalaDynasty","2026-07-18T23:14:29.000Z"
"042nt","6","7","67","C","Ivica Zubac","IND","FantasyISO","2026-07-18T23:16:15.000Z"
"04qrn","6","8","68","SF","Mikal Bridges","NY","Anyang","2026-07-19T07:16:26.000Z"
"049kb","6","9","69","PG","DeAaron Fox","SA","Snooch","2026-07-19T07:32:02.000Z"
"06mjw","6","10","70","PG","Stephon Castle","SA","bdub","2026-07-19T08:58:01.000Z"
"051ot","6","11","71","SG","Tyler Herro","MIL","Draft Only #1","2026-07-19T09:01:15.000Z"
"01uyj","6","12","72","PF","Paul George","BOS","Sternhold","2026-07-19T10:06:04.000Z"
"04ewm","7","1","73","C","Jarrett Allen","CLE","Sternhold","2026-07-19T10:06:17.000Z"
"03ajv","7","2","74","PF","Julius Randle","BKN","Draft Only #1","2026-07-19T10:06:53.000Z"
"06227","7","3","75","PG","Ryan Rollins","MIL","bdub","2026-07-19T13:28:39.000Z"
"02nf6","7","4","76","PG","Damian Lillard","POR","Snooch","2026-07-19T21:29:00.146Z"
"05qu0","7","5","77","PF","Jaden McDaniels","MIN","Anyang","2026-07-20T05:25:49.096Z"
"042nq","7","6","78","PG","Dejounte Murray","NO","FantasyISO","2026-07-20T07:17:16.515Z"
"06ccf","7","7","79","SF","Ausar Thompson","DET","GalaDynasty","2026-07-20T08:02:53.299Z"
"05qt1","7","8","80","PG","Payton Pritchard","BOS","Timbo1","2026-07-20T08:03:25.588Z"
"051p4","7","9","81","SG","Ty Jerome","MEM","stylesofbeyond","2026-07-20T08:05:37.908Z"
"05qu9","7","10","82","PG","Immanuel Quickley","TOR","JDUB13","2026-07-20T11:57:36.507Z"
"06212","7","11","83","PF","Jabari Smith","HOU","Oceanman","2026-07-20T11:57:36.791Z"
"03ad2","7","12","84","C","Myles Turner","MIL","az24","2026-07-20T15:53:03.671Z"
"02xg9","8","1","85","C","Rudy Gobert","MIN","az24","2026-07-20T15:53:13.962Z"
"04ewu","8","2","86","SG","Josh Hart","NY","Oceanman","2026-07-20T15:53:14.239Z"
"06v5h","8","3","87","C","Derik Queen","NO","JDUB13","2026-07-20T17:15:34.957Z"
"051oh","8","4","88","PF","Zion Williamson","NO","stylesofbeyond","2026-07-20T17:19:43.257Z"
"051oi","8","5","89","PG","Ja Morant","POR","Timbo1","2026-07-20T21:24:40.063Z"
"05uif","8","6","90","PG","Jalen Suggs","ORL","GalaDynasty","2026-07-20T21:35:14.427Z"
"06v5y","8","7","91","SG","Dylan Harper","SA","FantasyISO","2026-07-20T21:37:51.293Z"
