"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","Son","2026-07-22T03:42:00.624Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Sternhold","2026-07-22T03:42:00.902Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Alex Caruso","2026-07-22T03:42:02.418Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Vemida","2026-07-22T04:58:32.713Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","chuckball","2026-07-22T04:58:32.990Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","GalaDynasty","2026-07-22T04:58:34.514Z"
"03xmv","1","7","7","PF","Jayson Tatum","BOS","FantasyISO","2026-07-22T06:16:57.009Z"
"031m2","1","8","8","PF","Giannis Antetokounmpo","MIA","Pilli","2026-07-22T06:16:57.289Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","Chicago Blicas GMT🇵🇹","2026-07-22T06:56:24.261Z"
"06v5l","1","10","10","SF","Cooper Flagg","DAL","ProudPapaPlays","2026-07-22T07:10:58.654Z"
"05qug","1","11","11","SG","Anthony Edwards","MIN","BIGPURPLEANDGOLD","2026-07-22T07:21:41.000Z"
"01enh","1","12","12","PG","Stephen Curry","GS","Timbo1","2026-07-22T07:28:29.329Z"
"04qrk","2","1","13","PG","Trae Young","WAS","Timbo1","2026-07-22T07:28:41.914Z"
"05uie","2","2","14","PF","Scottie Barnes","TOR","BIGPURPLEANDGOLD","2026-07-22T07:29:18.197Z"
"05qtv","2","3","15","PG","Tyrese Haliburton","IND","ProudPapaPlays","2026-07-22T07:31:46.488Z"
"05qto","2","4","16","PG","LaMelo Ball","MIN","Chicago Blicas GMT🇵🇹","2026-07-22T07:37:50.891Z"
"04ewe","2","5","17","SG","Donovan Mitchell","CLE","Pilli","2026-07-22T07:52:15.410Z"
"03ad3","2","6","18","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-22T07:53:55.691Z"
"001aw","2","7","19","PF","Kevin Durant","HOU","GalaDynasty","2026-07-22T09:06:39.816Z"
"05uiq","2","8","20","C","Alperen Sengun","HOU","chuckball","2026-07-22T09:29:26.377Z"
"03nwm","2","9","21","SG","Devin Booker","PHO","Vemida","2026-07-22T14:52:14.361Z"
"06ca8","2","10","22","SF","Amen Thompson","HOU","Alex Caruso","2026-07-22T15:09:22.623Z"
"042n4","2","11","23","PG","Jamal Murray","DEN","Sternhold","2026-07-22T15:11:41.632Z"
"04qsa","2","12","24","PG","Jalen Brunson","NY","Son","2026-07-22T15:57:17.060Z"
"01eo6","3","1","25","PG","James Harden","CLE","Son","2026-07-22T15:57:23.334Z"
"04azw","3","2","26","PF","Lauri Markkanen","UTA","Sternhold","2026-07-22T16:03:41.689Z"
"05uig","3","3","27","PG","Josh Giddey","CHI","Alex Caruso","2026-07-22T19:30:13.562Z"
"05uid","3","4","28","PF","Evan Mobley","CLE","Vemida","2026-07-22T19:35:11.910Z"
"02nf1","3","5","29","PF","Anthony Davis","WAS","chuckball","2026-07-22T19:54:56.979Z"
"05uus","3","6","30","SG","Austin Reaves","LAL","GalaDynasty","2026-07-22T20:03:27.393Z"
"05uir","3","7","31","SF","Trey Murphy","NO","FantasyISO","2026-07-22T20:04:03.672Z"
"06211","3","8","32","C","Chet Holmgren","OKC","Pilli","2026-07-22T20:22:34.538Z"
"03lls","3","9","33","SF","Jaylen Brown","PHI","Chicago Blicas GMT🇵🇹","2026-07-22T23:57:14.834Z"
"04ewt","3","10","34","SG","Derrick White","BOS","ProudPapaPlays","2026-07-23T01:39:26.396Z"
"0621l","3","11","35","C","Walker Kessler","LAL","BIGPURPLEANDGOLD","2026-07-23T01:45:26.874Z"
"027oz","3","12","36","SF","Kawhi Leonard","LAC","Timbo1","2026-07-23T01:47:01.254Z"
"042n7","4","1","37","C","Domantas Sabonis","SAC","Timbo1","2026-07-23T01:47:09.537Z"
"05qtj","4","2","38","SF","Deni Avdija","POR","BIGPURPLEANDGOLD","2026-07-23T02:00:56.265Z"
"04ewf","4","3","39","C","Bam Adebayo","MIA","ProudPapaPlays","2026-07-23T04:11:44.830Z"
