"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","oceansstar","2026-07-22T23:00:01.272Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Markkowgier","2026-07-22T23:51:36.412Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","FantasyISO","2026-07-22T23:51:36.712Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","GreenPoh","2026-07-22T23:51:38.243Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Son","2026-07-22T23:54:03.823Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","shuey33","2026-07-23T00:34:44.975Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","SirGladiator","2026-07-23T03:59:00.030Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","epk1993","2026-07-23T04:20:04.612Z"
"06v5l","1","9","9","SF","Cooper Flagg","DAL","danco","2026-07-23T04:20:04.885Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","jlinebaugh","2026-07-23T12:20:13.911Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","Sternhold","2026-07-23T20:20:24.614Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","thibs11","2026-07-23T21:27:34.033Z"
"04ewt","2","1","13","SG","Derrick White","BOS","thibs11","2026-07-23T21:27:46.369Z"
"06ca8","2","2","14","SF","Amen Thompson","HOU","Sternhold","2026-07-23T23:00:56.329Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","jlinebaugh","2026-07-23T23:45:50.058Z"
"03ad3","2","4","16","C","Karl-Anthony Towns","NY","danco","2026-07-24T02:23:49.586Z"
"031m2","2","5","17","PF","Giannis Antetokounmpo","MIA","epk1993","2026-07-24T08:00:22.663Z"
"05uiq","2","6","18","C","Alperen Sengun","HOU","SirGladiator","2026-07-24T08:20:03.142Z"
"02nf1","2","7","19","PF","Anthony Davis","WAS","shuey33","2026-07-24T09:45:36.326Z"
"042n4","2","8","20","PG","Jamal Murray","DEN","Son","2026-07-24T14:13:22.838Z"
