"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Shining Fates","2026-07-13T23:00:03.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","JJyumyum","2026-07-13T23:00:05.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","GalaDynasty","2026-07-13T23:00:07.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","chuckball","2026-07-13T23:00:08.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","airgc30","2026-07-13T23:47:36.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","Pilli","2026-07-13T23:47:37.000Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","Anyang","2026-07-14T04:49:28.000Z"
"05uie","1","8","8","PF","Scottie Barnes","TOR","Bucket Getters","2026-07-14T04:49:28.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","Wisconsimmy","2026-07-14T11:42:32.000Z"
"05uiu","1","10","10","SF","Jalen Johnson","ATL","Jimco15","2026-07-14T12:31:25.000Z"
"03xmv","1","11","11","PF","Jayson Tatum","BOS","BadHabits","2026-07-14T12:31:25.000Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","GreenPoh","2026-07-14T13:46:13.000Z"
"03ad3","2","1","13","C","Karl-Anthony Towns","NY","GreenPoh","2026-07-14T13:46:20.000Z"
"04ewe","2","2","14","SG","Donovan Mitchell","CLE","BadHabits","2026-07-14T13:46:20.000Z"
"06ca8","2","3","15","SF","Amen Thompson","HOU","Jimco15","2026-07-14T14:29:36.000Z"
"05uig","2","4","16","PG","Josh Giddey","CHI","Wisconsimmy","2026-07-14T14:35:36.000Z"
"06v5l","2","5","17","SF","Cooper Flagg","DAL","Bucket Getters","2026-07-14T14:35:36.000Z"
"04qrk","2","6","18","PG","Trae Young","WAS","Anyang","2026-07-14T18:29:30.000Z"
"01enh","2","7","19","PG","Stephen Curry","GS","Pilli","2026-07-14T18:47:44.000Z"
"042n4","2","8","20","PG","Jamal Murray","DEN","airgc30","2026-07-14T23:23:22.000Z"
"001aw","2","9","21","PF","Kevin Durant","HOU","chuckball","2026-07-15T02:26:18.000Z"
"027oz","2","10","22","SF","Kawhi Leonard","LAC","GalaDynasty","2026-07-15T06:38:45.000Z"
"05uir","2","11","23","SF","Trey Murphy","NO","JJyumyum","2026-07-15T11:34:54.000Z"
"03nwm","2","12","24","SG","Devin Booker","PHO","Shining Fates","2026-07-15T13:09:41.000Z"
"06211","3","1","25","C","Chet Holmgren","OKC","Shining Fates","2026-07-15T16:33:16.000Z"
"05uus","3","2","26","SG","Austin Reaves","LAL","JJyumyum","2026-07-15T16:33:17.000Z"
"04azw","3","3","27","PF","Lauri Markkanen","UTA","GalaDynasty","2026-07-15T17:43:31.000Z"
"05uiq","3","4","28","C","Alperen Sengun","HOU","chuckball","2026-07-15T18:07:20.000Z"
"01eo6","3","5","29","PG","James Harden","CLE","airgc30","2026-07-16T00:09:51.000Z"
"05qto","3","6","30","PG","LaMelo Ball","MIN","Pilli","2026-07-16T00:09:51.000Z"
"04ewt","3","7","31","SG","Derrick White","BOS","Anyang","2026-07-16T05:23:11.000Z"
"05uid","3","8","32","PF","Evan Mobley","CLE","Bucket Getters","2026-07-16T05:23:11.000Z"
"05qtt","3","9","33","C","Onyeka Okongwu","ATL","Wisconsimmy","2026-07-16T12:43:23.000Z"
"051ox","3","10","34","SG","Nickeil Alexander-Walker","ATL","Jimco15","2026-07-16T12:54:50.000Z"
"027oj","3","11","35","SG","Kyrie Irving","DAL","BadHabits","2026-07-16T12:54:50.000Z"
"02nf1","3","12","36","PF","Anthony Davis","WAS","GreenPoh","2026-07-16T15:11:00.000Z"
"04qsa","4","1","37","PG","Jalen Brunson","NY","GreenPoh","2026-07-16T15:11:19.000Z"
"06cca","4","2","38","SF","Brandon Miller","CHA","BadHabits","2026-07-16T15:11:19.000Z"
"06v5n","4","3","39","SF","Kon Knueppel","CHA","Jimco15","2026-07-16T15:25:39.000Z"
"05qtj","4","4","40","SF","Deni Avdija","POR","Wisconsimmy","2026-07-16T15:30:39.000Z"
"04ewf","4","5","41","C","Bam Adebayo","MIA","Bucket Getters","2026-07-16T15:30:39.000Z"
"0621c","4","6","42","C","Jalen Duren","DET","Anyang","2026-07-16T18:37:17.000Z"
"04qrj","4","7","43","C","Jaren Jackson","UTA","Pilli","2026-07-16T19:04:56.000Z"
"042n7","4","8","44","C","Domantas Sabonis","SAC","airgc30","2026-07-16T22:39:53.000Z"
"0621b","4","9","45","SG","Jalen Williams","OKC","chuckball","2026-07-16T22:39:53.000Z"
"0621l","4","10","46","C","Walker Kessler","LAL","GalaDynasty","2026-07-16T22:39:54.000Z"
"06mjz","4","11","47","C","Donovan Clingan","POR","JJyumyum","2026-07-16T23:25:03.000Z"
"076vc","4","12","48","PF","Cameron Boozer","MEM","Shining Fates","2026-07-16T23:35:25.000Z"
"0011e","5","1","49","SF","LeBron James","(N/A)","Shining Fates","2026-07-16T23:35:30.000Z"
"05qt3","5","2","50","SG","Desmond Bane","ORL","JJyumyum","2026-07-16T23:37:02.000Z"
"06cby","5","3","51","PG","Keyonte George","UTA","GalaDynasty","2026-07-17T04:21:34.000Z"
"03lls","5","4","52","SF","Jaylen Brown","PHI","chuckball","2026-07-17T04:21:34.000Z"
"051ot","5","5","53","SG","Tyler Herro","MIL","airgc30","2026-07-17T07:17:42.000Z"
"042nm","5","6","54","PF","Pascal Siakam","IND","Pilli","2026-07-17T07:17:42.000Z"
"06210","5","7","55","PF","Paolo Banchero","ORL","Anyang","2026-07-17T09:16:03.000Z"
"06mjw","5","8","56","PG","Stephon Castle","SA","Bucket Getters","2026-07-17T12:19:33.000Z"
"04ewn","5","9","57","PF","OG Anunoby","NY","Wisconsimmy","2026-07-17T12:58:00.000Z"
"05uii","5","10","58","SF","Franz Wagner","ORL","Jimco15","2026-07-17T13:17:07.000Z"
"04qrn","5","11","59","SF","Mikal Bridges","NY","BadHabits","2026-07-17T21:17:19.000Z"
"042nq","5","12","60","PG","Dejounte Murray","NO","GreenPoh","2026-07-17T22:16:47.000Z"
"051ol","6","1","61","PG","Darius Garland","LAC","GreenPoh","2026-07-17T22:17:23.000Z"
"06mk1","6","2","62","C","Zach Edey","MEM","BadHabits","2026-07-18T00:14:05.000Z"
"06217","6","3","63","SG","Dyson Daniels","ATL","Jimco15","2026-07-18T01:08:56.000Z"
"049kb","6","4","64","PG","DeAaron Fox","SA","Wisconsimmy","2026-07-18T02:02:09.000Z"
