"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Oceanman","2026-07-20T23:00:02.865Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","sanj156","2026-07-20T23:00:04.374Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","Luka Magic","2026-07-20T23:00:32.295Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","JDUB13","2026-07-20T23:00:33.239Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Sternhold","2026-07-20T23:00:35.415Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","Hoobob","2026-07-21T01:16:29.221Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","Pilli","2026-07-21T01:16:29.553Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","Anyang","2026-07-21T03:09:23.014Z"
"04ewe","1","9","9","SG","Donovan Mitchell","CLE","Son","2026-07-21T03:21:35.430Z"
"05qtv","1","10","10","PG","Tyrese Haliburton","IND","shuey33","2026-07-21T03:21:57.714Z"
"031m2","1","11","11","PF","Giannis Antetokounmpo","MIA","keenet","2026-07-21T04:19:27.618Z"
"05qug","1","12","12","SG","Anthony Edwards","MIN","Dmor7","2026-07-21T04:58:09.422Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","Dmor7","2026-07-21T04:58:43.733Z"
"05uie","2","2","14","PF","Scottie Barnes","TOR","keenet","2026-07-21T04:59:18.071Z"
"01enh","2","3","15","PG","Stephen Curry","GS","shuey33","2026-07-21T11:31:38.229Z"
"05uiq","2","4","16","C","Alperen Sengun","HOU","Son","2026-07-21T14:04:14.907Z"
"042n4","2","5","17","PG","Jamal Murray","DEN","Anyang","2026-07-21T17:54:35.937Z"
"03ad3","2","6","18","C","Karl-Anthony Towns","NY","Pilli","2026-07-21T18:21:34.596Z"
"001aw","2","7","19","PF","Kevin Durant","HOU","Hoobob","2026-07-21T21:50:25.091Z"
"05qto","2","8","20","PG","LaMelo Ball","MIN","Sternhold","2026-07-21T21:52:13.681Z"
"04qrk","2","9","21","PG","Trae Young","WAS","JDUB13","2026-07-21T23:40:05.007Z"
"01eo6","2","10","22","PG","James Harden","CLE","Luka Magic","2026-07-21T23:55:39.578Z"
"05uus","2","11","23","SG","Austin Reaves","LAL","sanj156","2026-07-22T00:18:36.506Z"
"06ca8","2","12","24","SF","Amen Thompson","HOU","Oceanman","2026-07-22T00:18:36.779Z"
"05uid","3","1","25","PF","Evan Mobley","CLE","Oceanman","2026-07-22T00:18:38.285Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","sanj156","2026-07-22T00:53:10.500Z"
"05uig","3","3","27","PG","Josh Giddey","CHI","Luka Magic","2026-07-22T00:54:58.806Z"
"06211","3","4","28","C","Chet Holmgren","OKC","JDUB13","2026-07-22T01:54:06.333Z"
"027oz","3","5","29","SF","Kawhi Leonard","LAC","Sternhold","2026-07-22T05:26:20.531Z"
"05uir","3","6","30","SF","Trey Murphy","NO","Hoobob","2026-07-22T07:57:44.318Z"
"04azw","3","7","31","PF","Lauri Markkanen","UTA","Pilli","2026-07-22T08:20:32.873Z"
"0621b","3","8","32","SG","Jalen Williams","OKC","Anyang","2026-07-22T15:27:46.020Z"
"04qsa","3","9","33","PG","Jalen Brunson","NY","Son","2026-07-22T15:57:56.924Z"
"02nf1","3","10","34","PF","Anthony Davis","WAS","shuey33","2026-07-22T18:19:28.587Z"
"06217","3","11","35","SG","Dyson Daniels","ATL","keenet","2026-07-22T18:54:12.748Z"
"04ewf","3","12","36","C","Bam Adebayo","MIA","Dmor7","2026-07-22T20:16:24.427Z"
"04qrj","4","1","37","C","Jaren Jackson","UTA","Dmor7","2026-07-22T20:32:05.006Z"
"06210","4","2","38","PF","Paolo Banchero","ORL","keenet","2026-07-22T20:34:11.419Z"
"042n7","4","3","39","C","Domantas Sabonis","SAC","shuey33","2026-07-22T20:57:10.129Z"
"051ox","4","4","40","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-22T21:19:58.833Z"
"06mjw","4","5","41","PG","Stephon Castle","SA","Anyang","2026-07-23T03:25:24.373Z"
"03lls","4","6","42","SF","Jaylen Brown","PHI","Pilli","2026-07-23T03:25:24.656Z"
"05qtj","4","7","43","SF","Deni Avdija","POR","Hoobob","2026-07-23T04:49:30.244Z"
"0621l","4","8","44","C","Walker Kessler","LAL","Sternhold","2026-07-23T07:13:17.488Z"
"06v5n","4","9","45","SF","Kon Knueppel","CHA","JDUB13","2026-07-23T07:13:17.766Z"
"04ewt","4","10","46","SG","Derrick White","BOS","Luka Magic","2026-07-23T11:42:44.381Z"
"0621c","4","11","47","C","Jalen Duren","DET","sanj156","2026-07-23T11:52:44.740Z"
"051ol","4","12","48","PG","Darius Garland","LAC","Oceanman","2026-07-23T11:52:45.022Z"
"06ccf","5","1","49","SF","Ausar Thompson","DET","Oceanman","2026-07-23T11:52:46.547Z"
"05uii","5","2","50","SF","Franz Wagner","ORL","sanj156","2026-07-23T11:53:16.071Z"
"0011e","5","3","51","SF","LeBron James","(N/A)","Luka Magic","2026-07-23T11:53:50.363Z"
"042nm","5","4","52","PF","Pascal Siakam","IND","JDUB13","2026-07-23T12:36:09.192Z"
"027oj","5","5","53","SG","Kyrie Irving","DAL","Sternhold","2026-07-23T12:38:03.504Z"
"06cca","5","6","54","SF","Brandon Miller","CHA","Hoobob","2026-07-23T12:43:53.830Z"
"05qt3","5","7","55","SG","Desmond Bane","ORL","Pilli","2026-07-23T12:43:54.109Z"
"06mjz","5","8","56","C","Donovan Clingan","POR","Anyang","2026-07-23T17:30:03.483Z"
"042nq","5","9","57","PG","Dejounte Murray","NO","Son","2026-07-23T20:20:42.905Z"
"04qrr","5","10","58","SF","Michael Porter","BKN","shuey33","2026-07-23T21:15:46.350Z"
"06mju","5","11","59","C","Alex Sarr","WAS","keenet","2026-07-23T21:56:09.494Z"
"076vc","5","12","60","PF","Cameron Boozer","MEM","Dmor7","2026-07-23T23:28:19.291Z"
"06227","6","1","61","PG","Ryan Rollins","MIL","Dmor7","2026-07-23T23:30:03.608Z"
"051oh","6","2","62","PF","Zion Williamson","NO","keenet","2026-07-24T03:33:38.824Z"
"06mk3","6","3","63","SF","Matas Buzelis","CHI","shuey33","2026-07-24T03:35:11.123Z"
"051p4","6","4","64","SG","Ty Jerome","MEM","Son","2026-07-24T03:51:19.799Z"
"04ewn","6","5","65","PF","OG Anunoby","NY","Anyang","2026-07-24T07:51:51.590Z"
"05qu9","6","6","66","PG","Immanuel Quickley","TOR","Pilli","2026-07-24T07:57:55.954Z"
"06mk7","6","7","67","C","Kelel Ware","MIL","Hoobob","2026-07-24T08:01:38.267Z"
"01uyj","6","8","68","PF","Paul George","BOS","Sternhold","2026-07-24T08:05:32.571Z"
